s_no                	string              	from deserializer   
case_status         	string              	from deserializer   
employer_name       	string              	from deserializer   
soc_name            	string              	from deserializer   
job_title           	string              	from deserializer   
full_time_position  	string              	from deserializer   
prevailing_wage     	string              	from deserializer   
year                	string              	from deserializer   
worksite            	string              	from deserializer   
longitute           	string              	from deserializer   
latitute            	string              	from deserializer   
PROGRAMMER ANALYST	31799	2011
SOFTWARE ENGINEER	12763	2011
COMPUTER PROGRAMMER	8998	2011
SYSTEMS ANALYST	8644	2011
BUSINESS ANALYST	3891	2011
COMPUTER SYSTEMS ANALYST	3698	2011
ASSISTANT PROFESSOR	3467	2011
PHYSICAL THERAPIST	3377	2011
SENIOR SOFTWARE ENGINEER	2935	2011
SENIOR CONSULTANT	2798	2011
PROGRAMMER ANALYST	33066	2012
SOFTWARE ENGINEER	14437	2012
COMPUTER PROGRAMMER	9629	2012
SYSTEMS ANALYST	9296	2012
BUSINESS ANALYST	4752	2012
COMPUTER SYSTEMS ANALYST	4706	2012
SOFTWARE DEVELOPER	3895	2012
PHYSICAL THERAPIST	3871	2012
ASSISTANT PROFESSOR	3801	2012
SENIOR CONSULTANT	3737	2012
PROGRAMMER ANALYST	33880	2013
SOFTWARE ENGINEER	15680	2013
COMPUTER PROGRAMMER	11271	2013
SYSTEMS ANALYST	8714	2013
TECHNOLOGY LEAD - US	7853	2013
TECHNOLOGY ANALYST - US	7683	2013
BUSINESS ANALYST	5716	2013
COMPUTER SYSTEMS ANALYST	5043	2013
SOFTWARE DEVELOPER	5026	2013
SENIOR CONSULTANT	4326	2013
PROGRAMMER ANALYST	43114	2014
SOFTWARE ENGINEER	20500	2014
COMPUTER PROGRAMMER	14950	2014
SYSTEMS ANALYST	10194	2014
SOFTWARE DEVELOPER	7337	2014
BUSINESS ANALYST	7302	2014
COMPUTER SYSTEMS ANALYST	6821	2014
TECHNOLOGY LEAD - US	5057	2014
TECHNOLOGY ANALYST - US	4913	2014
SENIOR CONSULTANT	4898	2014
